{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.7351}
{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2263}
{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.154}
{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}
{'neg': 0.196, 'neu': 0.755, 'pos': 0.049, 'compound': -0.8039}
{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.8372}
{'neg': 0.042, 'neu': 0.793, 'pos': 0.165, 'compound': 0.682}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.8176}
{'neg': 0.25, 'neu': 0.571, 'pos': 0.179, 'compound': -0.25}
{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.6249}
{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}
{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}
{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.485}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.097, 'neu': 0.714, 'pos': 0.188, 'compound': 0.34}
{'neg': 0.183, 'neu': 0.645, 'pos': 0.172, 'compound': -0.0516}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.6249}
{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.6249}
{'neg': 0.181, 'neu': 0.819, 'pos': 0.0, 'compound': -0.4767}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.25}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.2406}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.8439}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
